,pT1,pT2,pT3,pT4
162,56.875,17.625,8.375,7.796875
163,82.0,30.25,12.625,6.5625
164,41.375,40.625,25.6875,8.59375
165,48.0,7.4375,28.6875,20.5
166,51.375,48.5,21.1875,11.375
167,43.375,19.8125,51.0,9.4375
168,90.5,28.25,33.375,11.375
169,32.375,10.3125,44.5,6.609375
170,39.0,30.125,36.0,23.875
171,108.25,27.25,44.0,20.125
172,88.75,17.8125,16.9375,6.28125
173,39.375,35.625,30.4375,18.5
174,26.375,14.09375,34.5,24.0625
175,42.625,18.3125,43.75,12.5
176,78.75,19.625,29.0625,11.90625
177,73.5,22.4375,23.75,18.0
178,73.5,0.4482421875,13.5,5.21875
179,60.875,20.375,38.75,9.28125
180,62.25,29.6875,36.125,13.8125
181,46.375,40.125,37.625,3.40625
182,33.375,11.8125,22.0625,18.0
183,53.75,45.5,25.5625,13.625
184,48.625,33.875,22.875,18.5625
185,77.25,10.625,17.9375,3.3984375
186,47.875,7.15625,42.5,18.625
187,68.25,24.6875,20.75,16.4375
188,48.375,34.125,26.375,6.8125
189,30.4375,22.875,31.5625,10.78125
190,49.375,25.3125,62.25,2.28125
191,71.0,43.75,15.34375,12.34375
192,40.125,7.078125,47.875,26.0
193,110.0,15.53125,40.75,4.546875
194,142.0,77.0,98.0,18.375
195,41.75,24.75,31.125,16.375
196,49.125,44.875,10.53125,9.3125
197,103.0,18.8125,17.1875,15.84375
198,45.875,16.4375,9.90625,9.34375
199,91.5,47.25,37.0,25.875
200,42.5,24.25,34.25,10.21875
201,51.625,25.4375,19.5,12.40625
202,145.5,20.9375,47.375,9.5
203,64.25,36.125,23.625,18.25
204,37.25,35.125,10.90625,9.4375
205,62.25,25.5625,26.75,15.25
206,106.0,34.875,36.125,21.0
207,88.0,37.375,13.65625,6.484375
208,19.4375,14.46875,34.125,18.625
209,36.875,13.59375,28.375,24.625
210,130.0,12.46875,14.71875,12.5
211,50.0,35.5,17.125,12.125
212,44.75,26.4375,39.25,6.703125
213,70.5,36.625,39.0,10.25
214,40.125,15.875,37.25,13.78125
215,64.75,25.125,19.125,15.875
216,50.125,27.875,27.5625,9.75
217,46.875,44.0,28.5625,12.40625
218,41.25,38.875,20.1875,15.40625
219,44.875,44.25,35.0,14.65625
220,42.125,12.8125,22.1875,17.8125
221,68.25,30.0,19.9375,3.75
222,46.375,35.5,44.75,28.5
223,87.0,69.25,29.0,8.0
224,78.5,23.5625,30.0625,9.53125
225,43.25,27.6875,23.625,17.625
226,68.75,32.0,23.0,7.140625
227,35.25,13.875,22.3125,10.84375
228,64.5,29.75,32.875,4.59375
229,61.125,19.0625,31.3125,13.375
230,39.625,12.6875,49.0,6.390625
231,88.0,10.4375,44.0,8.53125
232,47.125,24.75,40.25,8.1875
233,46.25,40.5,26.125,19.5
234,64.75,27.0,40.875,11.53125
235,54.5,27.25,31.0625,11.40625
236,39.875,30.3125,36.375,6.578125
237,43.75,14.40625,22.875,17.8125
238,47.0,37.375,24.75,6.796875
239,50.125,20.1875,35.75,5.015625
240,34.0,24.875,21.75,17.0625
241,74.75,5.859375,9.5625,8.375
242,43.75,33.375,12.53125,5.421875
243,40.25,22.8125,40.875,19.625
244,50.625,31.6875,18.0,10.21875
245,60.375,20.125,29.6875,11.0
246,39.75,19.5,44.25,22.6875
247,53.125,13.71875,60.375,12.375
248,21.5,7.21875,30.8125,7.203125
249,68.75,25.4375,25.875,13.5
250,57.5,45.5,21.0625,7.953125
251,33.125,28.875,34.0,28.25
252,55.25,36.0,42.375,16.875
253,107.0,35.375,22.0625,21.3125
254,76.5,17.75,41.5,17.625
255,49.875,30.6875,23.9375,7.4375
256,70.75,20.0,21.125,7.6875
257,99.5,24.8125,37.75,12.15625
258,33.0,18.0,27.375,13.34375
259,31.0,3.71875,36.125,14.96875
260,61.5,30.125,23.0625,12.40625
261,70.0,21.4375,34.25,3.109375
262,51.375,30.3125,53.125,8.78125
263,37.75,34.375,11.0,7.3125
264,46.875,26.4375,40.375,16.6875
265,34.875,30.5625,24.3125,14.3125
266,86.75,20.8125,40.625,24.3125
267,30.5,21.875,25.5,9.3125
268,54.125,35.25,31.5625,11.375
269,65.0,36.25,23.25,6.5
270,60.75,20.0,25.625,17.6875
271,108.25,41.375,33.375,21.625
272,47.875,33.75,27.6875,3.5390625
273,44.875,37.25,43.375,17.0
274,64.5,45.625,26.3125,7.046875
275,38.75,32.0,14.84375,7.53125
276,52.25,30.4375,39.5,18.0
277,94.5,23.6875,30.875,10.03125
278,13.5625,13.15625,39.125,14.46875
279,51.25,44.0,38.875,11.78125
280,39.25,37.25,25.625,24.3125
281,35.625,30.8125,27.1875,11.625
282,66.0,11.8125,24.5625,17.6875
283,53.0,24.25,38.375,18.1875
284,107.0,5.078125,32.75,10.40625
285,83.0,43.125,79.25,52.75
286,42.5,38.0,58.0,7.1875
287,46.625,28.875,27.8125,17.1875
288,69.0,23.5625,35.375,13.15625
289,25.125,18.625,27.5625,7.0
290,24.9375,17.375,19.9375,11.75
291,99.75,26.25,8.78125,3.46875
292,32.625,30.4375,22.9375,4.796875
293,62.375,25.3125,28.4375,17.375
294,76.5,34.5,39.0,5.71875
295,97.0,18.25,24.1875,12.09375
296,51.875,39.625,21.4375,6.859375
297,75.5,21.5,41.75,9.4375
298,61.625,19.75,19.6875,19.1875
299,81.75,15.5,16.5,15.3125
300,45.25,1.15234375,26.5625,5.65625
301,28.1875,16.375,33.75,19.625
302,37.625,31.5625,28.875,4.953125
303,41.625,18.4375,21.0625,14.21875
304,76.5,20.0,17.4375,13.28125
305,65.25,19.6875,57.125,3.8984375
306,48.25,30.0,18.0625,3.53125
307,73.0,24.5625,17.25,11.0
308,129.0,13.8125,22.875,16.0625
309,69.75,16.1875,38.75,20.25
310,69.0,17.0625,22.5,17.125
311,38.875,23.1875,33.0,5.875
312,33.0,29.9375,26.875,24.25
313,54.25,4.96875,12.3125,8.3125
314,95.25,50.5,15.3125,7.609375
315,59.625,17.625,47.5,7.359375
316,52.625,39.125,24.8125,4.1875
317,61.875,13.5625,16.3125,3.8828125
318,30.9375,26.9375,20.375,13.625
319,92.5,6.125,54.75,12.5625
320,36.5,5.375,31.3125,17.5
321,42.75,35.375,41.375,4.671875
322,59.25,20.125,42.625,33.875
323,42.25,12.9375,46.375,12.0625
324,62.625,21.375,30.5625,24.75
325,61.25,9.6875,17.875,7.890625
326,78.5,22.0625,26.875,22.75
327,66.0,40.25,32.75,12.53125
328,27.3125,1.49609375,39.625,22.5625
329,56.375,11.625,32.25,13.125
330,70.5,23.3125,33.75,23.875
331,63.0,20.875,16.3125,13.71875
332,85.75,15.3125,59.5,9.5625
333,16.6875,3.171875,8.46875,6.953125
334,54.0,25.5625,39.25,21.75
335,73.75,24.8125,37.75,6.734375
336,50.5,30.5,33.125,22.375
